FIRST RUN

time on check for stopping :

part 0
(0010) 0.003455360000
(0020) 0.004198615000
(0030) 0.007232283000
(0040) 0.011084371000
(0050) 0.021480509000
(0060) 0.028258270000
(0070) 0.037089902000
(0080) 0.078833157000
(0090) 0.107172050000
(0100) 0.120379041000
(0110) 0.149502894000
(0120) 0.185391901000
(0130) 0.228628778000
(0140) 0.261644190000
(0150) 0.287727317000
(0160) 0.314716901000
(0170) 0.367955316000
(0180) 0.443949166000
(0190) 0.503630289000

part 1
(0100) 0.636912097000
(0200) 0.589515563000
(0300) 1.711472119000
(0400) 3.983836613000
(0500) 7.763474940000
(0600) 13.497622545000
(0700) 21.403402262000
(0800) 32.155096971000
(0900) 45.949386515000
(1000) 63.154036859000
(1100) 84.193681006000
(1200) 108.846353489000
(1300) 137.911886295000
(1400) 172.259100052000

part 2
(1500) 215.468674466000
(1600) 260.030721290000
(1700) 311.001386480000
(1800) 370.097773277000
(1900) 440.348740540000

indirect relative error :

part 0
(0010) 3.04564732e-02
(0020) 9.99769271e-03
(0030) 4.43571958e-03
(0040) 2.32610071e-03
(0050) 1.41075820e-03
(0060) 9.86285196e-04
(0070) 7.88798431e-04
(0080) 6.90187157e-04
(0090) 6.41158851e-04
(0100) 6.11230806e-04
(0110) 5.82748587e-04
(0120) 5.51261333e-04
(0130) 5.16578254e-04
(0140) 4.87212450e-04
(0150) 4.50906199e-04
(0160) 4.20527352e-04
(0170) 3.95295334e-04
(0180) 3.69306314e-04
(0190) 3.33706807e-04

part 1
(0100) 6.05302257e-04
(0200) 3.16213471e-04
(0300) 1.94061166e-04
(0400) 2.53371650e-04
(0500) 2.08994760e-04
(0600) 2.46176870e-04
(0700) 2.37217282e-04
(0800) 9.93714032e-05
(0900) 7.32897418e-05
(1000) 4.74273627e-05
(1100) 3.84719516e-05
(1200) 2.23037092e-05
(1300) 2.76286189e-05
(1400) 2.63401241e-05

part 2
(1500) 1.88755383e-05
(1600) 1.06568074e-05
(1700) 1.13869079e-05
(1800) 1.50047586e-05
(1900) 1.53927459e-05

part 0
12.3709
part 1
Arnoldi total time : 1094.261189
part 2
Arnoldi total time : 2295.1915


SECOND RUN

time on check for stopping :

part 0
(0010) 0.002900422000
(0020) 0.003921479000
(0030) 0.008946071000
(0040) 0.010863598000
(0050) 0.016750156000
(0060) 0.025340377000
(0070) 0.035888928000
(0080) 0.075464976000
(0090) 0.093326048000
(0100) 0.120182339000
(0110) 0.150753444000
(0120) 0.183281964000
(0130) 0.225849985000
(0140) 0.259914603000
(0150) 0.270241980000
(0160) 0.318163338000
(0170) 0.369666371000
(0180) 0.420466088000
(0190) 0.483184225000

part 1
(0100) 0.121632681000
(0200) 0.607554120000
(0300) 1.683328878000
(0400) 3.908609068000
(0500) 7.739537403000
(0600) 13.460957219000
(0700) 21.334551440000
(0800) 32.077183401000
(0900) 45.888153830000
(1000) 62.986183120000
(1100) 83.871585539000
(1200) 108.810085985000
(1300) 138.205706162000
(1400) 170.737393835000

part 2
(1500) 215.881484126000
(1600) 262.276148604000
(1700) 311.658101897000
(1800) 376.014061870000
(1900) 440.287570631000

indirect relative error :

part 0
(0010) 3.04266373e-02
(0020) 9.86746384e-03
(0030) 4.34667861e-03
(0040) 2.26674729e-03
(0050) 1.36809256e-03
(0060) 9.52744249e-04
(0070) 7.58674349e-04
(0080) 6.60376695e-04
(0090) 6.03032782e-04
(0100) 5.57924826e-04
(0110) 5.04261580e-04
(0120) 4.40518126e-04
(0130) 3.87371096e-04
(0140) 3.40450619e-04
(0150) 2.98872527e-04
(0160) 2.69355433e-04
(0170) 2.50922037e-04
(0180) 2.35355641e-04
(0190) 2.20589547e-04

part 1
(0100) 5.89093192e-04
(0200) 3.03571373e-04
(0300) 1.96354083e-04
(0400) 2.60470839e-04
(0500) 2.15083825e-04
(0600) 2.20646877e-04
(0700) 1.44233904e-04
(0800) 7.45056731e-05
(0900) 8.03811592e-05
(1000) 3.51603060e-05
(1100) 5.02080953e-05
(1200) 2.55303568e-05
(1300) 3.42276661e-05
(1400) 2.72739805e-05

part 2
(1500) 1.74523809e-05
(1600) 1.11428409e-05
(1700) 1.08157208e-05
(1800) 1.39275643e-05
(1900) 1.51569387e-05

part 0
12.1083
part 1
1093.7836
part 2
Arnoldi total time : 2327.4195


TOTAL

relative error sign^2-I (m=2000) : 1.89380840e-05
